Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Glass,Metal,Paper,Plastic,Airfryer,Grill,Microwave,Oven,Stove,WasteScore
obese,male,omnivore,more frequently,electricity,walk/bicycle,,never,115,very frequently,80,large,3,21,7,1,Sometimes,2626,0,0,1,0,1,1,1,1,1,9
normal,female,pescatarian,less frequently,coal,walk/bicycle,,often,71,rarely,49,small,2,7,43,19,Yes,1430,1,0,1,1,1,1,0,1,1,2
underweight,male,omnivore,less frequently,natural gas,private,diesel,never,232,frequently,7937,extra large,4,3,15,4,Yes,4077,0,1,0,1,1,1,0,0,0,16
overweight,female,vegan,more frequently,electricity,private,electric,sometimes,106,frequently,8237,large,7,9,5,15,Sometimes,1538,1,1,1,1,0,0,0,1,0,21
obese,male,omnivore,twice a day,wood,private,electric,never,168,very frequently,1601,medium,6,5,48,5,Yes,3550,1,0,1,1,1,1,0,0,1,12
obese,male,vegan,more frequently,natural gas,public,,never,72,rarely,410,small,3,2,34,12,No,1791,0,0,0,0,0,0,0,1,1,3
underweight,female,vegan,twice a day,wood,private,hybrid,sometimes,299,rarely,7440,medium,3,1,15,13,No,2007,0,1,0,1,0,0,0,0,0,6
underweight,male,vegan,daily,coal,private,diesel,sometimes,275,frequently,741,extra large,7,10,40,3,No,2898,1,0,1,1,0,0,1,0,0,28
obese,male,pescatarian,less frequently,electricity,public,,never,241,rarely,1690,small,2,7,36,2,Yes,1474,1,0,0,1,0,0,0,0,1,2
obese,male,vegan,more frequently,wood,public,,sometimes,207,very frequently,1088,medium,7,2,42,10,Yes,3859,0,0,1,0,1,1,1,1,0,14
obese,female,pescatarian,less frequently,natural gas,private,lpg,sometimes,68,frequently,4863,large,7,14,9,3,Sometimes,3796,0,0,0,0,1,1,1,1,1,21
overweight,male,pescatarian,more frequently,natural gas,walk/bicycle,,sometimes,219,frequently,89,large,2,13,47,23,Yes,2681,0,0,1,0,1,1,1,0,1,6
overweight,female,vegetarian,daily,coal,walk/bicycle,,sometimes,60,rarely,75,small,6,7,5,18,Yes,1022,1,1,1,0,0,0,1,1,1,6
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,,often,235,very frequently,13,large,4,24,35,7,No,3053,0,1,1,0,1,1,1,0,1,12
normal,male,omnivore,less frequently,wood,private,petrol,sometimes,287,rarely,5221,large,6,22,16,10,Sometimes,3785,0,1,1,1,0,0,1,0,0,18
normal,female,vegetarian,more frequently,coal,public,,sometimes,147,frequently,412,small,6,18,38,18,No,2010,1,0,1,1,0,0,1,1,0,6
underweight,male,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,64,very frequently,2,extra large,4,9,7,17,No,2342,1,0,0,1,1,1,0,0,1,16
overweight,female,pescatarian,daily,electricity,public,,often,191,rarely,1867,extra large,6,20,38,21,Sometimes,2457,1,0,0,0,1,1,1,1,1,24
normal,male,vegetarian,more frequently,electricity,walk/bicycle,,never,264,very frequently,81,small,1,7,46,5,Sometimes,2272,1,1,0,0,1,1,0,0,0,1
obese,female,pescatarian,twice a day,electricity,public,,sometimes,160,frequently,345,extra large,7,6,34,23,Sometimes,2746,1,0,0,0,1,1,0,1,0,28
obese,male,pescatarian,more frequently,coal,private,lpg,sometimes,288,never,6367,medium,7,6,12,3,No,3961,1,0,1,0,0,0,1,0,1,14
obese,female,pescatarian,twice a day,coal,private,diesel,never,264,frequently,3643,extra large,3,15,10,0,Sometimes,3181,0,0,1,1,0,0,0,1,0,12
underweight,male,omnivore,less frequently,natural gas,public,,sometimes,81,rarely,1670,extra large,2,14,19,2,Sometimes,1177,1,1,1,0,0,0,0,1,0,8
obese,female,omnivore,twice a day,natural gas,walk/bicycle,,never,204,never,64,medium,2,7,40,21,No,1616,0,1,0,1,1,1,0,1,0,4
underweight,male,omnivore,less frequently,coal,public,,never,112,frequently,741,medium,4,22,19,16,No,1964,1,0,1,0,1,1,0,0,1,8
obese,male,omnivore,more frequently,wood,public,,sometimes,227,rarely,1710,extra large,1,2,34,17,No,2201,1,0,1,0,1,1,0,0,0,4
underweight,male,omnivore,less frequently,natural gas,private,electric,often,124,very frequently,2836,small,7,4,5,21,No,2678,0,0,0,0,1,1,1,1,0,7
overweight,female,vegetarian,more frequently,wood,walk/bicycle,,often,199,very frequently,16,extra large,1,1,48,22,Yes,2625,1,0,1,1,1,1,1,0,1,4
obese,female,pescatarian,less frequently,natural gas,walk/bicycle,,sometimes,103,rarely,12,large,4,8,46,21,Yes,1787,0,1,1,1,0,0,0,1,1,12
normal,female,vegan,twice a day,coal,private,petrol,often,268,rarely,6808,medium,4,24,45,2,No,4256,0,0,0,0,1,1,0,1,0,8
overweight,male,vegan,less frequently,coal,walk/bicycle,,never,74,rarely,19,small,7,20,35,17,No,1683,1,1,1,0,1,1,1,0,1,7
overweight,female,omnivore,less frequently,natural gas,walk/bicycle,,often,158,very frequently,4,large,4,21,43,22,Yes,2999,1,0,1,1,0,0,1,0,1,12
obese,female,vegan,twice a day,natural gas,public,,never,153,very frequently,313,large,4,5,36,19,Sometimes,2749,0,1,1,0,1,1,1,1,0,12
obese,female,vegetarian,more frequently,coal,private,petrol,sometimes,178,never,469,large,4,15,29,1,No,1730,1,1,1,0,1,1,1,1,1,12
obese,female,vegetarian,daily,natural gas,walk/bicycle,,often,236,frequently,87,extra large,7,2,42,16,No,3307,0,0,0,0,1,1,1,1,1,28
obese,female,vegetarian,twice a day,wood,private,hybrid,often,137,rarely,3119,small,2,19,18,2,No,1835,0,1,0,0,0,0,1,1,0,2
underweight,male,vegetarian,daily,natural gas,private,hybrid,never,79,rarely,4295,extra large,4,20,45,3,Sometimes,2386,1,0,0,0,0,0,0,0,1,16
overweight,male,omnivore,less frequently,natural gas,walk/bicycle,,sometimes,107,frequently,30,extra large,4,5,7,7,No,1965,1,1,0,1,1,1,0,0,1,16
normal,male,pescatarian,daily,natural gas,public,,often,201,never,907,medium,4,1,46,12,No,1738,0,1,0,1,0,0,0,0,1,8
normal,male,vegan,more frequently,coal,public,,often,282,frequently,603,large,7,9,7,0,No,2419,0,0,1,0,1,1,1,0,1,21
underweight,female,vegetarian,twice a day,wood,private,electric,sometimes,172,very frequently,6993,large,7,20,8,19,Yes,2280,0,0,1,1,1,1,0,1,1,21
obese,male,omnivore,daily,wood,public,,often,260,rarely,1898,small,2,5,27,10,No,2413,0,0,0,0,1,1,1,1,0,2
normal,male,vegetarian,twice a day,coal,private,diesel,never,176,never,3044,large,3,13,1,21,Sometimes,1786,1,1,1,0,0,0,0,0,1,9
normal,female,vegan,daily,electricity,walk/bicycle,,never,82,never,21,large,1,7,16,0,No,556,0,1,0,0,1,1,1,1,1,3
obese,male,vegan,less frequently,electricity,public,,never,166,rarely,1195,extra large,1,9,38,8,Yes,1412,1,0,0,0,0,0,0,0,0,4
underweight,male,vegetarian,daily,coal,walk/bicycle,,often,255,rarely,41,large,2,15,44,7,No,1819,0,1,1,1,0,0,1,0,1,6
overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,103,very frequently,92,medium,5,8,14,24,No,2563,0,1,1,1,0,0,0,1,1,10
underweight,female,pescatarian,less frequently,natural gas,walk/bicycle,,sometimes,269,frequently,52,large,2,1,36,9,Yes,1563,1,0,1,0,1,1,0,1,1,6
normal,female,omnivore,twice a day,coal,private,electric,sometimes,87,frequently,8454,small,2,21,35,3,Sometimes,1693,0,0,1,1,0,0,0,1,0,2
obese,female,pescatarian,less frequently,wood,walk/bicycle,,never,185,rarely,18,large,7,1,33,1,Sometimes,1824,0,1,0,0,0,0,1,0,0,21
underweight,female,vegan,less frequently,wood,walk/bicycle,,never,190,never,60,small,1,21,44,18,No,1001,0,0,1,1,0,0,0,0,1,1
normal,female,vegan,more frequently,natural gas,private,hybrid,never,156,frequently,3652,small,4,20,30,13,Sometimes,2001,0,1,1,1,1,1,1,0,1,4
normal,female,omnivore,more frequently,natural gas,private,electric,never,226,very frequently,7638,small,2,21,33,12,No,2368,0,1,1,0,1,1,1,0,0,2
obese,male,omnivore,daily,electricity,public,,often,59,rarely,715,medium,7,18,6,3,Sometimes,1430,0,1,0,1,1,1,0,0,1,14
obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,142,very frequently,40,small,2,23,29,1,No,3236,1,0,1,0,0,0,1,1,0,2
normal,female,vegan,more frequently,electricity,public,,never,170,rarely,534,extra large,2,10,7,0,Sometimes,587,0,1,1,0,0,0,0,0,0,8
underweight,female,vegetarian,twice a day,wood,walk/bicycle,,often,137,frequently,2,large,3,2,37,10,No,1873,1,1,0,1,1,1,0,1,1,9
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,often,239,very frequently,8,large,3,1,3,16,No,2314,1,0,0,0,0,0,1,1,1,9
obese,male,vegetarian,daily,coal,private,hybrid,never,257,never,7455,medium,4,0,27,21,Yes,3100,1,1,1,0,0,0,1,1,1,8
normal,male,pescatarian,less frequently,electricity,walk/bicycle,,often,228,never,10,extra large,4,10,26,12,Yes,1602,1,0,0,0,0,0,0,1,0,16
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,,often,259,frequently,30,medium,6,9,13,12,No,2216,0,1,0,0,1,1,0,1,0,12
obese,male,vegetarian,less frequently,natural gas,private,lpg,often,107,very frequently,90,small,1,18,6,15,Yes,2640,1,0,0,1,0,0,1,0,1,1
normal,female,vegan,twice a day,coal,public,,never,83,frequently,118,medium,6,4,32,19,Sometimes,1899,0,0,1,1,1,1,0,0,0,12
overweight,male,vegan,daily,wood,walk/bicycle,,often,94,rarely,2,medium,7,11,3,2,Yes,1418,0,1,0,1,0,0,0,1,1,14
obese,male,pescatarian,twice a day,wood,walk/bicycle,,often,272,frequently,10,large,2,14,13,7,Sometimes,2355,1,0,0,1,0,0,1,1,0,6
obese,male,pescatarian,less frequently,coal,public,,never,87,frequently,841,extra large,2,11,21,16,No,2619,0,0,1,0,0,0,1,1,1,8
normal,female,omnivore,more frequently,coal,walk/bicycle,,never,142,rarely,41,large,4,10,15,13,Sometimes,1651,0,0,0,0,1,1,0,1,0,12
overweight,male,pescatarian,twice a day,natural gas,public,,often,133,never,1263,small,3,7,40,16,Sometimes,1935,0,0,0,0,0,0,0,1,1,3
normal,female,omnivore,twice a day,wood,public,,sometimes,136,never,1996,extra large,6,18,31,15,No,1716,0,1,1,0,0,0,1,0,1,24
underweight,female,omnivore,daily,wood,private,lpg,often,103,rarely,9012,large,2,24,5,0,No,2960,1,0,0,0,0,0,1,0,0,6
overweight,male,pescatarian,less frequently,wood,public,,sometimes,250,rarely,1315,medium,5,0,49,16,Yes,2002,1,1,1,0,1,1,1,0,1,10
underweight,female,pescatarian,more frequently,coal,public,,often,147,never,697,extra large,3,13,30,21,No,1455,0,1,1,0,0,0,0,0,1,12
obese,male,vegetarian,daily,electricity,private,diesel,sometimes,195,very frequently,8371,small,1,0,18,21,Sometimes,5321,0,1,0,0,1,1,1,1,1,1
normal,male,vegetarian,less frequently,electricity,walk/bicycle,,often,244,very frequently,25,large,4,0,24,3,Sometimes,2377,0,1,1,0,1,1,1,1,0,12
obese,male,vegan,less frequently,electricity,public,,never,59,very frequently,307,medium,4,17,42,12,Yes,3093,0,0,0,0,1,1,1,0,1,8
normal,male,omnivore,less frequently,electricity,public,,often,157,very frequently,245,small,4,16,14,1,Yes,1987,1,1,1,0,1,1,0,1,1,4
normal,male,omnivore,daily,natural gas,public,,often,149,frequently,1694,small,3,5,49,19,Sometimes,2231,0,1,1,0,0,0,1,0,1,3
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,,often,254,never,20,extra large,1,1,48,23,Yes,1450,0,1,1,0,0,0,0,1,1,4
underweight,female,pescatarian,twice a day,coal,private,petrol,often,92,never,1022,large,1,15,25,13,Sometimes,1387,1,1,1,0,1,1,0,1,1,3
underweight,female,omnivore,twice a day,electricity,walk/bicycle,,never,168,very frequently,23,extra large,5,23,4,19,Yes,2276,0,0,0,0,1,1,1,1,0,20
obese,female,vegetarian,less frequently,natural gas,private,lpg,sometimes,124,frequently,786,medium,6,24,33,14,Yes,2320,1,1,0,0,0,0,0,0,0,12
underweight,female,vegan,less frequently,coal,public,,sometimes,218,frequently,1040,large,5,9,27,7,Yes,1996,1,0,1,0,1,1,1,0,1,15
obese,male,vegetarian,twice a day,wood,private,electric,never,182,rarely,1828,extra large,2,23,21,3,Yes,1647,0,0,1,0,1,1,1,1,1,8
underweight,male,pescatarian,daily,wood,walk/bicycle,,often,171,very frequently,69,medium,1,10,6,3,No,1913,1,1,1,0,0,0,0,0,0,2
obese,female,pescatarian,more frequently,wood,walk/bicycle,,often,130,never,23,extra large,2,16,48,13,No,1976,1,0,0,0,1,1,1,0,1,8
overweight,female,omnivore,twice a day,natural gas,public,,sometimes,153,very frequently,481,extra large,1,5,13,13,Sometimes,2411,0,0,0,1,1,1,0,0,1,4
overweight,male,vegetarian,less frequently,electricity,private,diesel,never,281,frequently,8167,small,4,4,18,9,No,3754,0,1,0,1,1,1,1,1,1,4
underweight,female,omnivore,less frequently,electricity,walk/bicycle,,sometimes,176,very frequently,59,small,3,14,35,9,Sometimes,2076,0,1,0,0,1,1,0,0,1,3
obese,female,vegan,more frequently,natural gas,public,,sometimes,191,never,745,small,5,1,33,0,Yes,962,1,1,1,1,0,0,0,0,1,5
obese,male,omnivore,more frequently,coal,private,lpg,often,225,never,439,large,2,12,1,2,No,1592,1,1,1,0,0,0,0,1,0,6
obese,male,vegan,less frequently,coal,private,lpg,sometimes,87,rarely,3880,large,3,5,11,7,No,3246,0,0,0,1,0,0,1,0,0,9
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,sometimes,99,never,24,extra large,6,16,33,18,Yes,1957,1,1,0,0,0,0,0,1,0,24
underweight,male,vegan,twice a day,coal,private,lpg,sometimes,170,very frequently,7771,extra large,1,22,43,21,Yes,4501,1,1,1,1,1,1,1,0,1,4
normal,male,vegan,twice a day,natural gas,public,,sometimes,294,never,1766,small,2,23,31,10,No,1394,1,0,0,1,1,1,0,0,0,2
normal,male,vegetarian,daily,electricity,public,,never,180,frequently,1569,extra large,4,21,39,1,Yes,2076,0,0,1,0,1,1,1,0,0,16
underweight,female,vegetarian,twice a day,wood,private,petrol,sometimes,276,frequently,6839,medium,7,3,29,16,Sometimes,4030,0,1,0,1,0,0,1,1,1,14
normal,male,omnivore,twice a day,natural gas,public,,sometimes,102,never,441,small,1,12,19,24,No,991,1,0,1,1,0,0,0,0,0,1
obese,male,omnivore,daily,wood,public,,often,72,very frequently,53,extra large,7,11,25,24,No,4084,1,1,0,0,0,0,1,1,0,28
overweight,female,pescatarian,twice a day,natural gas,public,,never,133,never,1281,extra large,4,10,0,16,Sometimes,1182,1,1,0,0,1,1,1,0,0,16
underweight,male,vegetarian,daily,wood,walk/bicycle,,never,254,never,50,medium,2,16,41,7,Yes,1403,0,0,0,0,1,1,0,0,0,4
obese,female,vegetarian,less frequently,electricity,public,,never,237,rarely,174,large,1,18,49,3,Sometimes,1467,0,0,0,1,0,0,0,0,1,3
normal,male,vegan,less frequently,electricity,private,petrol,sometimes,292,very frequently,2402,small,3,24,4,2,Yes,2655,1,0,1,1,1,1,0,1,0,3
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,,never,297,very frequently,59,large,5,20,27,8,Sometimes,2889,0,1,1,0,1,1,1,0,1,15
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,186,very frequently,6287,small,6,13,0,14,Yes,4574,1,0,1,1,0,0,0,1,1,6
obese,male,omnivore,daily,natural gas,walk/bicycle,,never,192,frequently,39,large,3,23,23,1,Sometimes,2364,1,0,0,1,0,0,0,0,1,9
overweight,female,vegan,twice a day,natural gas,public,,sometimes,116,very frequently,1159,small,1,6,50,0,Sometimes,2646,1,0,0,1,0,0,0,0,1,1
overweight,female,vegan,more frequently,electricity,private,lpg,sometimes,92,never,3601,medium,5,0,39,21,Yes,1928,1,1,1,0,1,1,0,0,0,10
obese,male,omnivore,twice a day,wood,public,,sometimes,66,never,1774,large,1,22,44,23,Sometimes,1806,1,1,0,0,1,1,1,1,0,3
normal,male,pescatarian,more frequently,natural gas,public,,sometimes,134,frequently,562,extra large,5,4,16,5,No,2567,0,0,0,0,1,1,1,1,1,20
overweight,female,vegetarian,more frequently,wood,private,diesel,often,146,frequently,2439,small,3,6,11,12,Yes,1896,1,1,1,0,0,0,0,0,1,3
obese,male,vegan,less frequently,coal,walk/bicycle,,often,125,never,82,extra large,6,9,11,12,No,2066,1,1,1,1,1,1,1,1,1,24
overweight,male,vegan,more frequently,coal,public,,often,177,never,168,extra large,4,15,38,4,Yes,2337,0,0,0,0,1,1,0,1,0,16
underweight,female,vegetarian,twice a day,wood,private,petrol,sometimes,210,very frequently,160,small,6,10,16,8,Yes,1838,1,1,1,0,0,0,0,1,0,6
obese,male,omnivore,more frequently,wood,walk/bicycle,,never,217,never,3,small,1,6,25,6,Yes,1280,1,0,1,0,0,0,1,1,0,1
underweight,male,pescatarian,more frequently,coal,private,hybrid,sometimes,291,never,1440,medium,5,12,22,7,Yes,2104,0,0,0,0,1,1,0,1,1,10
normal,female,vegan,less frequently,wood,walk/bicycle,,never,158,very frequently,5,extra large,2,16,13,8,Sometimes,1877,0,0,1,1,0,0,0,0,0,8
obese,male,vegan,daily,natural gas,public,,sometimes,92,rarely,503,small,1,6,44,14,No,1692,0,1,1,1,0,0,0,1,1,1
overweight,female,pescatarian,less frequently,wood,public,,often,105,rarely,1212,medium,4,4,6,16,Sometimes,1296,0,0,1,1,0,0,1,0,1,8
normal,male,pescatarian,daily,coal,private,hybrid,never,106,never,8379,small,3,10,46,23,Sometimes,2872,0,1,1,1,1,1,1,1,0,3
normal,female,vegan,more frequently,wood,public,,sometimes,234,frequently,654,extra large,2,3,4,13,Yes,1504,0,0,1,0,1,1,1,1,1,8
underweight,female,vegetarian,twice a day,wood,public,,sometimes,159,very frequently,1768,small,3,9,13,22,No,2058,1,0,0,1,1,1,0,0,0,3
overweight,female,pescatarian,more frequently,coal,public,,often,237,very frequently,834,medium,1,23,50,15,Sometimes,3121,0,0,0,1,0,0,1,1,1,2
normal,male,vegan,less frequently,wood,private,hybrid,sometimes,297,very frequently,7572,medium,3,6,47,4,Yes,4121,0,0,0,1,1,1,1,0,0,6
underweight,female,pescatarian,daily,natural gas,public,,never,65,never,770,medium,4,18,23,6,No,952,0,0,1,0,1,1,0,0,0,8
normal,female,omnivore,twice a day,electricity,walk/bicycle,,sometimes,180,very frequently,85,small,5,6,20,20,Sometimes,1955,0,1,1,0,1,1,0,1,1,5
normal,female,pescatarian,daily,natural gas,public,,never,169,never,1040,extra large,2,10,17,11,Sometimes,842,1,1,1,0,1,1,0,0,1,8
underweight,female,pescatarian,more frequently,natural gas,public,,often,140,very frequently,1715,medium,1,19,0,10,Yes,1786,0,1,1,0,0,0,0,1,1,2
overweight,male,vegan,twice a day,wood,public,,often,231,frequently,839,extra large,6,13,12,5,Yes,2532,0,0,1,1,1,1,1,0,1,24
overweight,male,vegan,less frequently,coal,public,,often,137,never,1856,extra large,4,3,49,1,Sometimes,2612,0,0,0,0,0,0,1,1,1,16
normal,female,pescatarian,daily,coal,public,,never,236,very frequently,90,extra large,7,4,15,1,Sometimes,2873,0,0,0,1,0,0,0,1,0,28
overweight,male,omnivore,daily,natural gas,walk/bicycle,,never,180,rarely,12,extra large,1,15,18,23,No,1497,0,0,1,1,0,0,1,0,0,4
underweight,male,vegetarian,more frequently,electricity,public,,often,90,very frequently,1486,large,2,0,15,15,Yes,1894,0,1,1,1,0,0,0,0,0,6
obese,male,vegan,less frequently,natural gas,private,electric,never,59,rarely,294,extra large,1,11,18,3,Yes,1077,1,0,1,1,0,0,1,0,1,4
normal,male,vegan,less frequently,wood,public,,sometimes,50,frequently,1563,extra large,4,3,43,15,No,2312,1,1,1,1,1,1,1,1,1,16
overweight,female,pescatarian,more frequently,electricity,public,,never,182,rarely,343,medium,7,11,37,3,Sometimes,1553,0,1,0,0,0,0,1,1,1,14
normal,male,vegan,twice a day,electricity,public,,often,155,never,1055,extra large,6,11,34,6,Yes,1568,1,1,1,1,0,0,0,1,1,24
obese,male,vegetarian,daily,natural gas,walk/bicycle,,never,106,very frequently,84,large,2,5,45,7,Yes,3094,0,1,1,0,1,1,1,1,1,6
underweight,female,omnivore,more frequently,electricity,walk/bicycle,,never,164,frequently,30,extra large,3,12,2,19,Yes,1280,1,0,1,0,1,1,1,1,1,12
obese,male,vegetarian,twice a day,wood,private,hybrid,never,88,rarely,191,small,7,7,10,13,Sometimes,1548,0,0,0,1,0,0,1,0,1,7
obese,female,omnivore,more frequently,electricity,private,diesel,never,211,never,6762,small,2,11,50,20,Yes,3203,0,1,1,0,1,1,1,1,1,2
overweight,male,pescatarian,less frequently,electricity,private,lpg,sometimes,271,rarely,7895,large,6,15,43,20,Yes,4510,1,1,0,0,0,0,1,0,0,18
overweight,male,vegetarian,more frequently,electricity,public,,often,90,never,1193,small,6,10,12,14,Sometimes,829,1,1,1,0,0,0,1,0,0,6
normal,male,vegetarian,twice a day,coal,walk/bicycle,,never,282,never,5,small,5,17,47,3,Sometimes,1380,1,1,1,1,1,1,0,1,0,5
overweight,male,pescatarian,less frequently,coal,walk/bicycle,,often,109,rarely,3,medium,2,0,2,19,Yes,1334,1,1,0,1,1,1,0,1,0,4
overweight,male,vegan,less frequently,wood,private,electric,often,291,rarely,4605,extra large,7,4,16,21,Sometimes,2333,1,0,1,1,1,1,0,0,0,28
underweight,female,vegetarian,twice a day,wood,walk/bicycle,,never,292,very frequently,82,medium,1,9,9,24,Yes,1690,1,1,1,0,1,1,1,1,1,2
obese,female,vegan,daily,wood,private,lpg,never,83,never,6760,extra large,3,24,25,5,No,3296,0,0,1,0,0,0,0,0,1,12
normal,female,pescatarian,less frequently,natural gas,walk/bicycle,,never,167,frequently,97,small,7,22,26,22,Yes,1698,0,1,0,1,1,1,1,1,0,7
normal,male,vegetarian,more frequently,natural gas,public,,sometimes,221,rarely,1046,small,5,13,48,14,Yes,1527,1,1,1,1,0,0,0,0,0,5
underweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,sometimes,253,never,85,large,3,20,40,2,Sometimes,1316,0,0,1,1,0,0,1,0,1,9
underweight,male,vegetarian,less frequently,natural gas,private,petrol,sometimes,247,frequently,4351,medium,1,15,21,0,Sometimes,2994,1,1,0,1,0,0,1,0,0,2
underweight,male,pescatarian,daily,natural gas,private,lpg,often,161,rarely,9111,extra large,2,21,24,12,Sometimes,3907,0,0,1,0,0,0,1,0,1,8
obese,female,pescatarian,daily,electricity,private,diesel,never,148,frequently,8233,small,5,0,13,9,Yes,3851,0,0,0,0,1,1,0,1,1,5
obese,male,omnivore,more frequently,coal,public,,never,240,frequently,563,large,6,12,36,4,Sometimes,3008,0,1,1,1,0,0,0,0,1,18
underweight,male,omnivore,twice a day,natural gas,walk/bicycle,,sometimes,256,rarely,86,large,4,14,47,22,Sometimes,2135,0,1,0,0,1,1,0,1,0,12
normal,male,pescatarian,daily,natural gas,public,,often,170,rarely,865,large,1,0,15,0,Sometimes,1367,0,0,0,1,1,1,0,0,1,3
underweight,female,pescatarian,less frequently,coal,private,lpg,never,281,rarely,4459,extra large,1,9,49,17,Yes,2582,1,0,1,0,0,0,0,1,0,4
underweight,male,omnivore,daily,coal,walk/bicycle,,never,188,rarely,35,medium,3,14,22,24,Yes,1454,1,1,1,0,1,1,0,0,0,6
obese,male,pescatarian,more frequently,electricity,walk/bicycle,,never,192,rarely,77,extra large,4,14,15,18,Sometimes,1790,0,0,1,0,0,0,1,1,1,16
obese,female,pescatarian,daily,electricity,private,petrol,sometimes,257,never,5372,medium,4,9,8,7,Yes,2945,1,1,0,0,1,1,1,0,1,8
obese,female,vegetarian,twice a day,wood,public,,often,70,frequently,161,small,6,2,43,0,No,2181,1,1,0,0,0,0,1,0,0,6
normal,female,vegan,daily,coal,walk/bicycle,,often,61,very frequently,0,large,2,3,11,13,Sometimes,2095,1,1,0,1,0,0,0,1,1,6
obese,female,vegan,daily,coal,walk/bicycle,,often,136,rarely,41,medium,5,3,0,21,No,1660,1,0,0,1,1,1,1,1,1,10
obese,male,pescatarian,daily,coal,private,hybrid,never,224,frequently,8842,extra large,6,7,19,10,Sometimes,4497,1,1,0,1,1,1,1,0,1,24
obese,male,pescatarian,less frequently,coal,walk/bicycle,,never,154,very frequently,81,small,1,15,14,17,Sometimes,3003,1,0,1,0,1,1,0,0,1,1
overweight,male,omnivore,less frequently,natural gas,public,,sometimes,218,very frequently,14,extra large,3,23,41,10,No,3672,1,1,0,0,1,1,0,1,1,12
normal,male,vegetarian,more frequently,wood,public,,often,63,never,1580,medium,3,6,17,11,Sometimes,1048,1,1,1,1,1,1,1,1,1,6
normal,male,vegan,more frequently,natural gas,walk/bicycle,,never,268,very frequently,88,extra large,5,17,26,9,No,2778,0,1,1,1,0,0,1,1,1,20
obese,male,omnivore,twice a day,natural gas,walk/bicycle,,sometimes,85,very frequently,17,large,7,0,3,12,No,3015,1,1,1,0,0,0,0,0,1,21
underweight,male,omnivore,twice a day,electricity,private,diesel,never,241,frequently,7435,medium,7,18,37,21,No,3916,1,0,0,1,0,0,1,1,0,14
underweight,female,vegan,daily,coal,public,,often,115,never,1610,large,3,3,4,4,Sometimes,818,1,1,1,1,1,1,0,0,0,9
overweight,female,pescatarian,more frequently,electricity,walk/bicycle,,often,296,very frequently,78,large,4,4,30,17,Sometimes,2729,1,1,0,1,1,1,0,1,0,12
obese,female,omnivore,less frequently,electricity,walk/bicycle,,never,170,never,85,large,6,15,38,10,Yes,1625,1,0,0,1,0,0,1,1,0,18
obese,female,vegan,twice a day,electricity,private,diesel,often,255,rarely,8772,small,4,5,5,24,No,3306,0,0,1,1,1,1,0,0,1,4
overweight,female,vegetarian,less frequently,coal,private,petrol,sometimes,296,frequently,6813,medium,7,3,15,16,Yes,4773,0,0,0,1,0,0,0,0,1,14
overweight,male,vegan,daily,wood,private,diesel,often,82,very frequently,5863,extra large,7,12,34,22,Sometimes,5750,0,0,0,0,0,0,0,1,0,28
normal,female,vegan,twice a day,coal,walk/bicycle,,sometimes,163,rarely,31,extra large,2,9,21,24,Sometimes,1392,1,1,0,1,1,1,1,0,0,8
normal,male,pescatarian,twice a day,coal,private,electric,never,264,very frequently,3570,small,5,17,28,22,Sometimes,2937,1,1,0,0,0,0,1,1,1,5
overweight,male,pescatarian,more frequently,coal,private,electric,sometimes,169,very frequently,8533,extra large,2,12,4,17,Yes,2618,1,1,0,1,1,1,1,0,0,8
normal,male,omnivore,more frequently,electricity,walk/bicycle,,often,169,frequently,93,extra large,3,8,43,5,Sometimes,2388,0,1,0,0,1,1,1,1,1,12
obese,male,vegan,twice a day,electricity,private,petrol,sometimes,145,rarely,8840,small,1,11,42,18,No,5392,1,0,1,0,0,0,1,1,1,1
normal,male,vegan,twice a day,wood,private,petrol,often,132,very frequently,8860,large,3,17,31,23,No,5816,1,1,0,0,1,1,0,1,1,9
overweight,female,vegan,less frequently,coal,private,diesel,sometimes,279,frequently,586,small,1,5,15,9,Yes,1818,0,1,0,0,0,0,0,1,0,1
obese,male,omnivore,more frequently,coal,private,petrol,sometimes,170,frequently,2834,large,6,4,25,9,Sometimes,4403,0,0,1,1,0,0,0,1,1,18
obese,female,vegan,less frequently,natural gas,private,electric,often,182,never,2850,medium,1,9,45,2,No,1586,0,0,0,0,0,0,0,1,1,2
underweight,male,vegetarian,twice a day,wood,private,hybrid,sometimes,253,never,7829,extra large,2,6,25,17,No,2448,1,1,1,0,1,1,1,1,1,8
